Neighborhood,HoodAveIncome
City of Toronto (0),52268
Agincourt North (129),30414
Agincourt South-Malvern West (128),31825
Alderwood (20),47709
Annex (95),112766
Banbury-Don Mills (42),67757
Bathurst Manor (34),45936
Bay Street Corridor (76),56526
Bayview Village (52),52035
Bayview Woods-Steeles (49),47246
Bedford Park-Nortown (39),123077
Beechborough-Greenbrook (112),33829
Bendale (127),33256
Birchcliffe-Cliffside (122),54360
Black Creek (24),25989
Blake-Jones (69),48511
Briar Hill-Belgravia (108),34768
Bridle Path-Sunnybrook-York Mills (41),308010
Broadview North (57),44557
Brookhaven-Amesbury (30),32483
Cabbagetown-South St. James Town (71),63012
Caledonia-Fairbank (109),35112
Casa Loma (96),165047
Centennial Scarborough (133),54045
Church-Yonge Corridor (75),53583
Clairlea-Birchmount (120),36232
Clanton Park (33),51181
Cliffcrest (123),44718
Corso Italia-Davenport (92),41717
Danforth (66),55225
Danforth East York (59),51846
Don Valley Village (47),37379
Dorset Park (126),31692
Dovercourt-Wallace Emerson-Junction (93),39740
Downsview-Roding-CFB (26),34168
Dufferin Grove (83),40588
East End-Danforth (62),54324
Edenbridge-Humber Valley (9),101551
Eglinton East (138),30033
Elms-Old Rexdale (5),32012
Englemount-Lawrence (32),48134
Eringate-Centennial-West Deane (11),47002
Etobicoke West Mall (13),38255
Flemingdon Park (44),28654
Forest Hill North (102),85099
Forest Hill South (101),204521
Glenfield-Jane Heights (25),27984
Greenwood-Coxwell (65),46206
Guildwood (140),53203
Henry Farm (53),36359
High Park North (88),57465
High Park-Swansea (87),71204
Highland Creek (134),40972
Hillcrest Village (48),40442
Humber Heights-Westmount (8),45615
Humber Summit (21),30731
Humbermede (22),29528
Humewood-Cedarvale (106),65274
Ionview (125),31383
Islington-City Centre West (14),52787
Junction Area (90),49709
Keelesdale-Eglinton West (110),33316
Kennedy Park (124),30974
Kensington-Chinatown (78),37422
Kingsview Village-The Westway (6),36674
Kingsway South (15),144642
Lambton Baby Point (114),76629
L'Amoreaux (117),31826
Lansing-Westgate (38),72371
Lawrence Park North (105),111730
Lawrence Park South (103),169203
Leaside-Bennington (56),125564
Little Portugal (84),45737
Long Branch (19),47384
Malvern (132),29573
Maple Leaf (29),37108
Markland Wood (12),62378
Milliken (130),28085
Mimico (includes Humber Bay Shores) (17),54438
Morningside (135),32291
Moss Park (73),58915
Mount Dennis (115),30827
Mount Olive-Silverstone-Jamestown (2),26548
Mount Pleasant East (99),85340
Mount Pleasant West (104),57039
New Toronto (18),44101
Newtonbrook East (50),45212
Newtonbrook West (36),34904
Niagara (82),70623
North Riverdale (68),73253
North St. James Town (74),32648
Oakridge (121),26793
Oakwood Village (107),39803
O'Connor-Parkview (54),43907
Old East York (58),53315
Palmerston-Little Italy (80),58071
Parkwoods-Donalda (45),42516
Pelmo Park-Humberlea (23),39003
Playter Estates-Danforth (67),70831
Pleasant View (46),36346
Princess-Rosethorn (10),99055
Regent Park (72),34597
Rexdale-Kipling (4),34418
Rockcliffe-Smythe (111),34059
Roncesvalles (86),50580
Rosedale-Moore Park (98),207903
Rouge (131),39556
Runnymede-Bloor West Village (89),71888
Rustic (28),31800
Scarborough Village (139),32913
South Parkdale (85),35207
South Riverdale (70),53803
St.Andrew-Windfields (40),100516
Steeles (116),31786
Stonegate-Queensway (16),64140
Tam O'Shanter-Sullivan (118),34200
Taylor-Massey (61),30430
The Beaches (63),92580
Thistletown-Beaumond Heights (3),32815
Thorncliffe Park (55),28875
Trinity-Bellwoods (81),50694
University (79),50757
Victoria Village (43),35786
Waterfront Communities-The Island (77),70600
West Hill (136),33323
West Humber-Clairville (1),31771
Westminster-Branson (35),32724
Weston (113),32997
Weston-Pelham Park (91),33528
Wexford/Maryvale (119),35047
Willowdale East (51),45326
Willowdale West (37),44576
Willowridge-Martingrove-Richview (7),44177
Woburn (137),30878
Woodbine Corridor (64),55199
Woodbine-Lumsden (60),47710
Wychwood (94),54460
Yonge-Eglinton (100),89330
Yonge-St.Clair (97),114174
York University Heights (27),29958
Yorkdale-Glen Park (31),38527
